node_id,name,latitude,longitude,type,usage,voltage_kv,capacity_mw,age_years,urban,last_maintenance_months,maintenance_quality,risk_tier,load_mean,load_std,load_max,load_min,load_trend,temp_mean,temp_max,voltage_dev_mean,voltage_dev_max,voltage_spikes,utilization_rate,load_variability,overload_risk,load_range,degree,maintenance_quality_encoded,maintenance_risk,age_bucket,age_load_interaction,voltage_load_interaction,age_maintenance_interaction,volatility_maintenance_interaction,stress_duration_pct,raw_risk_score,normalized_risk_score,risk_score,has_failure
0,Node_0000,20.765248883964286,79.21050297907402,distribution,residential,33,47.27241020983344,13,rural,5,good,low,0.4375208021938577,0.08474020014726094,0.6554381842439249,0.24670909584141995,9.747044207629803e-05,0.5228000665540505,0.9210242209409154,0.011158072542113267,0.04308555761174011,1,0.4375208021938577,0.1936822341706166,0.6554381842439249,0.4087290884025049,6,2,0.20833333333333334,0,0.1396197443436163,0.028239919648175956,2.7083333333333335,0.0403504654522118,0.0,45.21045783515379,0.10141273649096127,0.3598091801743428,0
1,Node_0001,20.736520882747833,78.85089547700194,distribution,residential,33,129.86150707925242,30,rural,20,average,critical,0.6985284269623216,0.18342272272874446,1.0,0.16824117942275987,1.4628562756416563e-05,0.524289716071031,0.8703208379521218,0.01837365529369675,0.11123799508113738,19,0.6985284269623216,0.2625841026145319,1.0,0.8317588205772402,6,1,0.8333333333333334,2,0.75,0.11123799508113738,25.0,0.21882008551210994,0.20833333333333334,121.42296966194267,0.6239960048814522,0.710624770245426,1
2,Node_0002,21.408950057745564,79.39044917923512,transmission,industrial,400,296.0170180655873,18,urban,11,average,medium,0.4063181717681613,0.14503761555069558,0.6739347572131592,0.1369051752241578,-0.0018123411716438565,0.5238528192098906,0.8726742579152799,0.013915813831044515,0.05076857506673993,4,0.4063181717681613,0.35695489070708075,0.6739347572131592,0.5370295819890014,3,1,0.4583333333333333,1,0.20438462564098192,0.03421470731166142,8.25,0.163604324907412,0.0,67.43578454479513,0.25381007381226306,0.46026900773933593,0
3,Node_0003,21.18148897045603,78.98239049459991,distribution,industrial,132,81.8925013438478,16,rural,10,average,medium,0.3935537185784237,0.13709716194619886,0.6386388977274172,0.10940773008295608,-0.0016714627693105483,0.5231220021484189,0.9085260196822932,0.014643527063244323,0.0512358235464777,5,0.3935537185784237,0.3483560365923538,0.6386388977274172,0.5292311676444611,4,1,0.4166666666666667,1,0.16314385667619621,0.03272118987387897,6.666666666666667,0.14514834858014744,0.0,58.99959858519314,0.1959638025656416,0.4316203068239547,1
4,Node_0004,21.62413080767725,79.36136769174696,distribution,residential,11,83.88668914710266,8,urban,2,good,low,0.37879688465943595,0.08419028416148162,0.6099018298088178,0.20325350701480313,1.5915685716614278e-05,0.521194297391388,0.8837569777418653,0.011737067169471127,0.04434830759832916,2,0.37879688465943595,0.22225647917008354,0.6099018298088178,0.40664832279401464,7,2,0.08333333333333333,0,0.07439604840082883,0.027048113953145252,0.6666666666666666,0.018521373264173628,0.0,34.7830704323094,0.02991295175565677,0.3054548950478237,0
5,Node_0005,21.02314847723031,78.84642681325998,distribution,industrial,132,72.62238587536409,9,urban,2,good,low,0.32854467417543126,0.11451014821499504,0.5475050213468388,0.12239560384279041,-0.0014184780324178086,0.5230270500242471,0.8713831467159772,0.011782629794293717,0.039266794683561736,0,0.32854467417543126,0.3485364660557085,0.5475050213468388,0.42510941750404835,4,2,0.08333333333333333,0,0.06744639339000054,0.021498767261445402,0.75,0.029044705504642374,0.0,33.9348135295498,0.024096520121880176,0.3073122250898697,0
6,Node_0006,21.22922621514409,79.05081030325698,distribution,industrial,11,142.34298563522913,11,rural,7,average,low,0.4161802202167604,0.1426881919479965,0.6906956081815653,0.16158489355685826,-0.0017400247696279347,0.5221326051784173,0.8696590850776841,0.013461766859877917,0.054724188798174755,2,0.4161802202167604,0.34285110672144214,0.6906956081815653,0.529110714624707,5,1,0.2916666666666667,0,0.13119161636935817,0.03779775686419812,3.2083333333333335,0.09999823946042063,0.0,54.262853262927884,0.16348430815311576,0.40309657825338846,0
7,Node_0007,21.62228966114789,78.96445932933042,distribution,industrial,33,37.43722585824667,23,rural,13,poor,high,0.5411791816651804,0.2110789850446095,1.0,0.19273529416700946,-0.0024705097712849765,0.520695914225058,0.883161507056804,0.020765448018394965,0.08070491551343523,21,0.5411791816651804,0.3900345803409348,1.0,0.8072647058329905,7,0,0.5416666666666666,1,0.575,0.08070491551343523,12.458333333333332,0.21126873101800633,0.05952380952380952,102.97076765725295,0.4974706903172516,0.6251135081402406,1
8,Node_0008,21.482961964195027,79.45349455920102,distribution,residential,11,25.410326425348007,28,suburban,15,average,medium,0.5726864590383647,0.12365801298196166,0.9775291097553576,0.29811163667487456,0.0003218613319520489,0.5218440278042826,0.8423617588014528,0.015494799091125697,0.06638442819161779,7,0.5726864590383647,0.21592582660986423,0.9775291097553576,0.679417473080483,7,1,0.625,2,0.6688942122933713,0.0648927109917706,17.5,0.13495364163116513,0.02976190476190476,92.03283368843175,0.4224701274719161,0.6212197045860716,0
9,Node_0009,20.757811713068207,79.43766442992856,distribution,residential,132,99.36900911830232,28,suburban,19,good,medium,0.48733749635579915,0.10762661066420616,0.8294809640353823,0.22152132530664376,0.00012098219338708811,0.5223583168513655,0.9012915705975473,0.01199110015131806,0.049611876034832934,1,0.48733749635579915,0.22084569856272848,0.8294809640353823,0.6079596387287385,7,2,0.7916666666666666,2,0.481627068787947,0.0411521067609771,22.166666666666664,0.1748361780288267,0.0,78.41927054644486,0.3291229834052228,0.5899992333123406,0
10,Node_0010,21.18601726677862,78.63852293293466,distribution,residential,11,142.46616515877656,16,urban,4,poor,low,0.33700410778861534,0.06550227893879146,0.5333083690781667,0.1800607926671505,0.00013268253561940225,0.5174744866177209,0.9286852950325329,0.02065207392062588,0.08413700290639595,18,0.33700410778861534,0.1943658343002843,0.5333083690781667,0.35324757641101623,7,0,0.16666666666666666,1,0.11376712661152565,0.04487096779913499,2.6666666666666665,0.03239430571671405,0.0,57.06796666930531,0.18271875269474586,0.3640290501551706,0
11,Node_0011,20.707474583620957,79.03826417041576,distribution,industrial,33,112.18929270001496,29,urban,23,average,critical,0.5742797901242316,0.22467860033290568,1.0,0.16780380424539076,-0.002420449665811269,0.5192987667534548,0.8772095555102395,0.01621933441163733,0.10413973588336815,8,0.5742797901242316,0.39123474822186194,1.0,0.8321961957546092,3,1,0.9583333333333334,2,0.725,0.10413973588336815,27.791666666666668,0.37493330037928435,0.13095238095238096,111.90570746351605,0.5587368779143913,0.7379288741612327,1
12,Node_0012,20.84349030311449,78.907017322873,distribution,residential,33,88.6232310797072,32,suburban,13,poor,high,0.5989712507951074,0.17073184197130106,1.0,0.2050980089302555,-6.327975115159103e-05,0.5217559254257991,0.9040584160190468,0.020614574644949653,0.1059501497251911,18,0.5989712507951074,0.2850413216049034,1.0,0.7949019910697445,5,0,0.5416666666666666,2,0.8,0.1059501497251911,17.333333333333332,0.15439738253598934,0.07738095238095238,129.4424786044636,0.6789851542168538,0.6771581963558078,1
13,Node_0013,21.337727363266595,78.74405153655144,distribution,industrial,33,119.58439439519414,6,urban,7,average,low,0.3033182148260729,0.10742501527697904,0.5567141382209643,0.11519146361969582,-0.0012606757881478423,0.5216874507161002,0.8760839791987419,0.014112743816456684,0.051636072004742815,7,0.3033182148260729,0.35416488644999927,0.5567141382209643,0.4415226746012685,4,1,0.2916666666666667,0,0.04648959475426664,0.028746531327236056,1.75,0.10329809188124979,0.0,40.89854315121768,0.0718462727366433,0.3351157229904142,0
14,Node_0014,20.96135347444311,79.37714512393492,distribution,residential,11,139.7331775441618,15,suburban,6,good,low,0.4660770683764686,0.09206243710861371,0.7155222906353935,0.27565597865154595,4.7458354123234844e-05,0.5171966916908917,0.8354995410096824,0.01232430896581003,0.045864766367996454,2,0.4660770683764686,0.1975257866762601,0.7155222906353935,0.43986631198384757,4,2,0.25,0,0.19198955564854522,0.03281726269108598,3.75,0.04938144666906503,0.0,48.84742959745868,0.1263511691056588,0.39760904978696,0
15,Node_0015,21.0125219085938,78.69400502485651,distribution,residential,132,109.01196596695925,10,suburban,4,good,low,0.3332707737884298,0.07446974692397289,0.6192976374141245,0.16633580674010934,8.862153791753322e-05,0.521581470693844,0.8898257407831835,0.010929007394364273,0.053426805533624167,3,0.3332707737884298,0.22345050730653346,0.6192976374141245,0.45296183067401513,4,2,0.16666666666666666,0,0.09588239092667909,0.033087094441557316,1.6666666666666665,0.037241751217755574,0.0,39.33181989616806,0.061103373182984574,0.3386120158636643,0
16,Node_0016,20.804959083993833,78.9423541967595,transmission,industrial,400,491.62380064236714,10,suburban,4,good,low,0.37626426149862036,0.13217027012594718,0.5995367836783193,0.14798467714384048,-0.001574608316104668,0.5182122066883087,0.9139401635233908,0.011491585378510983,0.037632914878450885,0,0.37626426149862036,0.351268861758666,0.5995367836783193,0.45155210653447886,7,2,0.16666666666666666,0,0.08986108874583595,0.02256231674666641,1.6666666666666665,0.058544810293110996,0.0,43.01938395902016,0.08638871326919342,0.34004443479549357,0
17,Node_0017,20.731935771549036,79.05200982467437,distribution,residential,11,121.638877551833,28,urban,8,average,medium,0.5225674186662099,0.1108399572162443,0.8848139521425497,0.2595862151100152,0.00011625617162651132,0.5197992638943901,0.8833163790382198,0.014462843170986561,0.04431038004797437,2,0.5225674186662099,0.2121061152129119,0.8848139521425497,0.6252277370325345,5,1,0.3333333333333333,2,0.5480270109342826,0.03920644249118658,9.333333333333332,0.07070203840430396,0.005952380952380952,75.22880678989954,0.3072462214718783,0.532573261365158,0
18,Node_0018,20.836376046517195,79.05023934283956,distribution,residential,33,76.21868311774138,10,rural,8,good,low,0.4989896746189012,0.10379235548049681,0.8359383528168656,0.2670084168959276,8.717258293093858e-05,0.5214671627021376,0.8935591409783629,0.012492930764914045,0.03834536614857424,0,0.4989896746189012,0.2080045996045259,0.8359383528168656,0.568929935920938,4,2,0.3333333333333333,0,0.1746982324275436,0.03205436221639875,3.333333333333333,0.06933486653484197,0.0,50.547248045120185,0.13800669204745958,0.41500810072822686,0
19,Node_0019,21.298528123777224,78.84386622333182,transmission,industrial,400,377.25988021853436,5,urban,7,good,low,0.3902578702013257,0.13783262305694838,0.6269885407126768,0.1366682907906731,-0.00168276003226796,0.5201095600608457,0.8364080670066798,0.01123676574585611,0.04581515364377453,2,0.3902578702013257,0.35318255030524653,0.6269885407126768,0.49032024992200374,5,2,0.2916666666666667,0,0.0491393287731265,0.028725576325637273,1.4583333333333335,0.10301157717236357,0.0,43.65145481581073,0.09072277399332625,0.34626250963507915,0
